EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
26.06.2000,22.8163,22.8588,22.7291,24.9066,25.9778,24.5185,25.6716,23.1471,15.6272
27.06.2000,22.7851,22.7733,22.8040,25.1264,25.8000,24.3751,25.5228,23.1144,15.6733
28.06.2000,22.2728,22.0257,22.5874,24.6462,25.5019,24.1665,25.1809,23.0877,19.0532
29.06.2000,23.5674,23.4885,23.6501,25.5840,26.1877,24.5755,25.9354,23.4568,19.2129
30.06.2000,22.4188,21.8956,22.8623,25.0067,25.7119,24.3628,25.5718,23.2480,19.1461
03.07.2000,22.6522,22.1815,22.8843,24.7884,25.4298,24.2106,25.3526,23.1170,19.1114
04.07.2000,21.8585,21.7061,21.9219,24.3340,25.1519,23.8549,25.2353,22.8545,18.9617
05.07.2000,22.6108,21.9285,22.8440,24.5741,25.4392,24.0791,25.2269,23.0002,19.0136
06.07.2000,22.4538,22.1907,22.5294,24.4596,25.4686,24.0335,25.2500,23.0146,19.0253
07.07.2000,21.4666,21.4071,21.4808,23.6748,24.7493,23.6987,24.6864,22.6494,18.7878
10.07.2000,21.5763,21.7490,21.5543,23.9764,24.9877,24.0473,24.8816,22.6181,18.7413
11.07.2000,21.2154,21.1550,21.2214,23.6818,24.7090,23.8451,24.9242,22.6425,18.7438
12.07.2000,20.9498,21.0974,20.9386,23.3438,24.4984,23.3603,24.3292,22.3317,18.4524
13.07.2000,20.4478,20.2730,20.4576,22.7600,24.0472,23.4228,24.3513,22.6474,18.3227
14.07.2000,19.7817,19.5215,19.7920,22.4894,23.8884,23.1301,24.1534,22.4289,18.2972
17.07.2000,19.6085,21.4360,19.5932,22.2744,23.7555,23.1561,24.0253,22.2096,19.0409
18.07.2000,19.4081,23.1218,19.3977,22.0479,23.6740,23.1215,24.0992,22.1812,18.7043
19.07.2000,20.4576,25.3578,20.4233,22.4950,23.8438,23.2809,24.2960,22.4725,18.8304
20.07.2000,20.0856,NA,19.8961,22.0700,23.5849,23.0989,24.2482,22.3357,18.8358
21.07.2000,20.3524,NA,20.0304,22.1150,23.7811,23.1721,24.1558,22.2706,18.8662
24.07.2000,20.8416,20.3275,21.8549,11.9738,23.6111,23.1555,24.1130,22.2898,18.8541
25.07.2000,20.5730,19.8595,21.6690,12.0318,23.6890,23.1789,24.2437,22.3571,18.9294
26.07.2000,20.6399,20.0888,21.3290,12.9370,23.5475,23.0018,24.0936,22.3019,18.9020
27.07.2000,21.2491,20.7301,21.7812,15.1493,24.2066,23.3034,25.1180,22.5920,19.0329
